Year,Month,Energia[GWh],Energia[%]
2011,1,0.0,0.0
2011,2,0.0,0.0
2011,3,0.0,0.0
2011,4,0.0,0.0
2011,5,5.5,16.87116564417178
2011,6,6.3,19.32515337423313
2011,7,12.5,38.3435582822086
2011,8,6.8,20.85889570552147
2011,9,0.6,1.840490797546012
2011,10,0.9,2.760736196319018
2011,11,0.0,0.0
2011,12,0.0,0.0
2012,1,9.2,5.418138987043578
2012,2,0.2,0.1177856301531213
2012,3,0.0,0.0
2012,4,0.2,0.1177856301531213
2012,5,8.200000000000001,4.829210836277975
2012,6,46.9,27.62073027090695
2012,7,59.3,34.92343934040046
2012,8,43.6,25.677267373380452
2012,9,1.9,1.118963486454652
2012,10,0.3,0.17667844522968199
2012,11,0.0,0.0
2012,12,0.0,0.0
2013,1,0.1,4.3478260869565215
2013,2,1.4,60.86956521739131
2013,3,0.1,4.3478260869565215
2013,4,0.0,0.0
2013,5,0.2,8.695652173913045
2013,6,0.5,21.73913043478261
2013,7,0.0,0.0
2013,8,0.0,0.0
2013,9,0.0,0.0
2013,10,0.0,0.0
2013,11,0.0,0.0
2013,12,0.0,0.0
2014,1,0.0,0.0
2014,2,0.0,0.0
2014,3,0.0,0.0
2014,4,0.0,0.0
2014,5,1.0,58.82352941176471
2014,6,0.5,29.41176470588236
2014,7,0.2,11.764705882352938
2014,8,0.0,0.0
2014,9,0.0,0.0
2014,10,0.0,0.0
2014,11,0.0,0.0
2014,12,0.0,0.0
2015,1,0.0,0.0
2015,2,0.0,0.0
2015,3,0.0,0.0
2015,4,0.0,0.0
2015,5,0.0,0.0
2015,6,0.0,0.0
2015,7,0.0,0.0
2015,8,0.0,0.0
2015,9,0.0,0.0
2015,10,0.0,0.0
2015,11,0.0,0.0
2015,12,0.0,0.0
2016,1,0.0,0.0
2016,2,0.0,0.0
2016,3,0.0,0.0
2016,4,0.0,0.0
2016,5,0.4,44.44444444444446
2016,6,0.5,55.555555555555564
2016,7,0.0,0.0
2016,8,0.0,0.0
2016,9,0.0,0.0
2016,10,0.0,0.0
2016,11,0.0,0.0
2016,12,0.0,0.0
2017,1,0.0,0.0
2017,2,0.0,0.0
2017,3,0.0,0.0
2017,4,0.0,0.0
2017,5,0.0,0.0
2017,6,0.0,0.0
2017,7,0.0,0.0
2017,8,0.0,0.0
2017,9,0.0,0.0
2017,10,0.0,0.0
2017,11,0.0,0.0
2017,12,0.0,0.0
2018,1,0.0,0.0
2018,2,0.0,0.0
2018,3,0.0,0.0
2018,4,0.0,0.0
2018,5,0.0,0.0
2018,6,0.0,0.0
2018,7,0.0,0.0
2018,8,0.0,0.0
2018,9,0.0,0.0
2018,10,0.0,0.0
2018,11,0.0,0.0
2018,12,0.0,0.0
2019,1,0.0,0.0
2019,2,0.0,0.0
2019,3,0.0,0.0
2019,4,0.0,0.0
2019,5,0.0,0.0
2019,6,0.0,0.0
2019,7,0.0,0.0
2019,8,0.0,0.0
2019,9,0.0,0.0
2019,10,0.0,0.0
2019,11,0.0,0.0
2019,12,0.0,0.0
2020,1,0.0,0.0
2020,2,0.0,0.0
2020,3,0.0,0.0
2020,4,0.0,0.0
2020,5,0.0,0.0
2020,6,0.0,0.0
2020,7,0.0,0.0
2020,8,0.0,0.0
