,y,v(y)
0,5.54015463404605,0.0
1,4.986139170641445,0.027770140667318893
2,4.43212370723684,0.052763267267905894
3,3.8781082438322345,0.074979379801761
4,3.3240927804276295,0.09441847826888422
5,2.7700773170230244,0.11108056266927555
6,2.2160618536184193,0.12496563300293499
7,1.6620463902138143,0.13607368926986255
8,1.1080309268092092,0.14440473147005822
9,0.5540154634046041,0.149958759603522
10,-1.1102230246251565e-15,0.1527357736702539
11,-0.5540154634046063,0.1527357736702539
12,-1.1080309268092114,0.149958759603522
13,-1.6620463902138165,0.14440473147005822
14,-2.2160618536184216,0.13607368926986255
15,-2.7700773170230266,0.12496563300293498
16,-3.3240927804276317,0.11108056266927552
17,-3.8781082438322367,0.09441847826888417
18,-4.432123707236842,0.07497937980176093
19,-4.986139170641447,0.05276326726790581
20,-5.540154634046052,0.027770140667318793
