Year,Month,Energia[GWh],Energia[%]
2011,1,0.0,0.0
2011,2,0.0,0.0
2011,3,0.1,5.882352941176473
2011,4,0.2,11.764705882352938
2011,5,0.2,11.764705882352938
2011,6,0.1,5.882352941176473
2011,7,0.1,5.882352941176473
2011,8,0.2,11.764705882352938
2011,9,0.2,11.764705882352938
2011,10,0.2,11.764705882352938
2011,11,0.2,11.764705882352938
2011,12,0.2,11.764705882352938
2012,1,0.2,2.5
2012,2,0.2,2.5
2012,3,0.2,2.5
2012,4,0.2,2.5
2012,5,0.5,6.25
2012,6,0.7,8.75
2012,7,0.8,10.0
2012,8,1.0,12.5
2012,9,1.0,12.5
2012,10,1.0,12.5
2012,11,1.0,12.5
2012,12,1.2,15.0
2013,1,1.0,6.578947368421053
2013,2,1.0,6.578947368421053
2013,3,1.0,6.578947368421053
2013,4,1.2,7.894736842105262
2013,5,1.3,8.552631578947368
2013,6,1.1,7.236842105263157
2013,7,1.1,7.236842105263157
2013,8,1.4,9.210526315789473
2013,9,1.3,8.552631578947368
2013,10,1.6,10.52631578947368
2013,11,1.5,9.868421052631575
2013,12,1.7,11.18421052631579
2014,1,1.6,10.0
2014,2,1.2,7.5
2014,3,1.4,8.75
2014,4,1.2,7.5
2014,5,1.1,6.875000000000001
2014,6,1.0,6.25
2014,7,1.2,7.5
2014,8,1.3,8.125
2014,9,1.4,8.75
2014,10,1.6,10.0
2014,11,1.4,8.75
2014,12,1.6,10.0
2015,1,1.4,9.589041095890408
2015,2,1.3,8.904109589041097
2015,3,1.3,8.904109589041097
2015,4,1.2,8.21917808219178
2015,5,1.1,7.534246575342466
2015,6,0.9,6.164383561643835
2015,7,1.1,7.534246575342466
2015,8,1.1,7.534246575342466
2015,9,1.3,8.904109589041097
2015,10,1.2,8.21917808219178
2015,11,1.3,8.904109589041097
2015,12,1.4,9.589041095890408
2016,1,1.3,9.285714285714283
2016,2,1.3,9.285714285714283
2016,3,1.3,9.285714285714283
2016,4,0.7999999999999999,5.7142857142857135
2016,5,0.5,3.571428571428571
2016,6,0.7999999999999999,5.7142857142857135
2016,7,1.2,8.571428571428568
2016,8,1.3,9.285714285714283
2016,9,1.3,9.285714285714283
2016,10,1.4,9.999999999999998
2016,11,1.4,9.999999999999998
2016,12,1.4,9.999999999999998
2017,1,1.5,9.090909090909092
2017,2,1.2,7.2727272727272725
2017,3,1.4,8.484848484848484
2017,4,1.2,7.2727272727272725
2017,5,1.1,6.666666666666668
2017,6,1.2,7.2727272727272725
2017,7,1.2,7.2727272727272725
2017,8,1.3,7.87878787878788
2017,9,1.4,8.484848484848484
2017,10,1.6,9.696969696969695
2017,11,1.7,10.303030303030301
2017,12,1.7,10.303030303030301
2018,1,1.7,1.571164510166358
2018,2,1.4,1.2939001848428842
2018,3,2.0,1.848428835489833
2018,4,1.7,1.571164510166358
2018,5,1.2,1.1090573012938998
2018,6,1.2,1.1090573012938998
2018,7,3.1,2.8650646950092415
2018,8,7.399999999999999,6.839186691312383
2018,9,11.1,10.25878003696858
2018,10,14.3,13.21626617375231
2018,11,23.9,22.088724584103513
2018,12,39.2,36.22920517560075
2019,1,40.6,5.075
2019,2,44.1,5.5125
2019,3,51.10000000000001,6.387500000000001
2019,4,50.5,6.3125
2019,5,41.9,5.2375
2019,6,40.7,5.0875
2019,7,54.00000000000001,6.75
2019,8,67.10000000000001,8.387500000000001
2019,9,85.79999999999998,10.725
2019,10,96.5,12.0625
2019,11,109.4,13.675
2019,12,118.3,14.7875
2020,1,106.9,16.28828279750114
2020,2,84.39999999999998,12.859972573518212
2020,3,98.79999999999997,15.05409111686728
2020,4,80.10000000000002,12.204784397379251
2020,5,72.70000000000002,11.07725125704709
2020,6,59.80000000000002,9.111686728630202
2020,7,66.9,10.19350906597593
2020,8,86.69999999999997,13.210422063080909
